"Region","year","RptArea","Log_rfrel","guiSWHS_rfrel","var_guiSWHS_rfrel","privSWHS_rfrel","var_privSWHS_rfrel","SWHS_gprop","var_SWHS_gprop"
"SC",2023,"AFOGNAK",NA,709,3541528.8,467,722976.6,0.602891156462585,0.59384170451833
"SC",2023,"BSAI",NA,145,48613.2863,24,573.6014,0.857988165680473,0.0491108417428354
"SC",2023,"CI",NA,1573,3357496,3949,3434710,0.284860557768924,0.0654527469549653
"SE",2023,"CSEO",NA,16497,49158794,12873,19094865,0.561695607763024,0.0179323616375218
"SC",2023,"EASTSIDE",NA,1208,2938767.128,3699,8254428,0.958730158730159,0.00575034212745147
"SE",2023,"EWYKT",NA,2818,5790697,203,3657367,0.932803707381662,0.351561493847127
"SC",2023,"NG",NA,10354,19556183,8533,15355151,0.548207761952666,0.0241266942743283
"SC",2023,"NORTHEAST",NA,4840,7778996,3699,8254428,0.566811102002576,0.0563905357747512
"SE",2023,"NSEI",NA,7578,26026250,10720,17224130,0.414143622253798,0.0355033716496949
"SE",2023,"NSEO",NA,3042,9497738,7766,68724948,0.281458179126573,0.0885861845222799
"SC",2023,"PWSI",NA,4336,6406694,11300,12020237,0.277308774622666,0.0174672137588291
"SC",2023,"PWSO",NA,733,1879815,1283,1294139,0.36359126984127,0.229424196198943
"SC",2023,"SOKO2SAP",NA,0,61804.13,1360,1215734.65,0,0.0334148626730104
"SE",2023,"SSEI",NA,25265,61221207,30426,75283214,0.45366396724785,0.0108875520680225
"SE",2023,"SSEO",NA,6089,15607861,3713,6836286,0.62119975515201,0.050766601129684
"SC",2023,"WKMA",NA,4686,12626967,1026,1238794,0.820378151260504,0.0380400350828601
"SC",2023,"SKMA",NA,4686,12626967,1026,1238794,0.820378151260504,0.0380400350828601
