"RptArea","year","N_obs","rclient_sum","nclient_sum"
"AFOGNAK",2023,571,301,3008
"ALEUTIAN",2023,3,2,8
"CI",2023,1122,765,5194
"CSEO",2023,5954,247,26901
"EASTSIDE",2023,166,38,714
"EYKT",2023,111,3,462
"IBS",2023,399,53,1774
"MAINLAND",2023,15,1,78
"NG",2023,3772,4328,21807
"NORTHEAST",2023,676,487,2951
"NSEI",2023,2710,144,11077
"NSEO",2023,1298,42,5161
"PWSI",2023,1311,2189,6090
"PWSO",2023,1478,3002,7641
"SOUTHEAST",2023,118,27,416
"SSEI",2023,4418,453,18335
"SSEO",2023,3071,206,11133
"WESTSIDE",2023,774,55,3084
"ZZZZ",2023,37,44,137
"ZZZZ",NA,5,0,14
NA,2023,8,2,30
